Category_Name,Category_Url
"Aardappel, groente, fruit",https://www.ah.nl/producten/aardappel-groente-fruit
"Salades, pizza, maaltijden",https://www.ah.nl/producten/salades-pizza-maaltijden
"Vlees, kip, vis, vega",https://www.ah.nl/producten/vlees-kip-vis-vega
"Kaas, vleeswaren, tapas",https://www.ah.nl/producten/kaas-vleeswaren-tapas
"Zuivel, plantaardig en eieren",https://www.ah.nl/producten/zuivel-plantaardig-en-eieren
Bakkerij en banket,https://www.ah.nl/producten/bakkerij-en-banket
Ontbijtgranen en beleg,https://www.ah.nl/producten/ontbijtgranen-en-beleg
"Snoep, koek, chips en chocolade",https://www.ah.nl/producten/snoep-koek-chips-en-chocolade
Tussendoortjes,https://www.ah.nl/producten/tussendoortjes
"Frisdrank, sappen, koffie, thee",https://www.ah.nl/producten/frisdrank-sappen-koffie-thee
Wijn en bubbels,https://www.ah.nl/producten/wijn-en-bubbels
Bier en aperitieven,https://www.ah.nl/producten/bier-en-aperitieven
"Pasta, rijst en wereldkeuken",https://www.ah.nl/producten/pasta-rijst-en-wereldkeuken
"Soepen, sauzen, kruiden, olie",https://www.ah.nl/producten/soepen-sauzen-kruiden-olie
Sport- en dieetvoeding,https://www.ah.nl/producten/sport-en-dieetvoeding
Diepvries,https://www.ah.nl/producten/diepvries
Drogisterij,https://www.ah.nl/producten/drogisterij
Baby en kind,https://www.ah.nl/producten/baby-en-kind
Huishouden,https://www.ah.nl/producten/huishouden
Huisdier,https://www.ah.nl/producten/huisdier
"Koken, tafelen, vrije tijd",https://www.ah.nl/producten/koken-tafelen-vrije-tijd
